what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1403390453717
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403390457055
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1403390460911
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1403390488999
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403390490850
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.rename.element",1403390490860
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403390497558
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1403390499389
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403390509502
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403390543194
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403390560123
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1403390560220
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1403390560291
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1403390575158
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1403390575462
started,bundle,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui",1403390575513
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1403390605284
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403390606880
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403390607072
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1403390609847
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1403390611305
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403390614946
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403390625250
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1403390625379
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1403390625445
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1403390628121
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403390632203
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403390648721
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1403390648816
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1403390648886
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1403390656051
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1403390660899
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403390662105
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403390663806
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1403390666369
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1403390667361
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403390671018
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403390677690
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1403390677824
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1403390677886
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1403390679605
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403390683276
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403390696612
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1403390696700
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1403390696774
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1403390720535
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403390722353
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403390722543
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403390726096
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403390727881
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1403390818162
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1403390818374
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1403390820725
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403390823893
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403390842119
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1403390842178
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1403390842246
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1403390853063
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403390856594
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403390870668
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1403390870730
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1403390870794
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1403390876042
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403390878631
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403390878832
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1403390882639
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1403390885643
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1403390885872
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1403390890505
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403390893140
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403390968490
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403390995074
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403391033849
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1403391055726
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403391057868
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403391058072
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1403391066505
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1403391069912
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1403391070143
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1403391077921
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1403391080971
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1403391081231
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1403391097689
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403391099329
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403391115025
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1403391132058
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1403391132265
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1403391137556
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1403391139214
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1403391142903
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1403391143111
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1403391162769
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1403391165654
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1403391165866
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1403391168873
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1403391186555
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1403391189482
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1403391189716
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403391241516
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403391276265
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1403391294420
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1403391319317
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1403391334729
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1403391336640
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1403391342275
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1403391350570
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403391356081
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403391363337
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403391367344
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403391369179
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.cleanAction",1403391369189
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403391370419
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403391714675
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1403391719242
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403391723275
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1403391736333
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403391737796
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403391746298
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1403391747738
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403391749994
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.rename.element",1403391750004
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403391756564
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403391766669
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403391768817
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1403391775852
