what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1427990840163
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1427990840174
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1427990840186
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1427990840195
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1427990840204
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1427990840209
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1427990840236
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1427990840236
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1427990840253
started,bundle,org.eclipse.m2e.logback.configuration,1.3.1.20130219-1424,"org.eclipse.m2e.logback.configuration",1427990840253
started,bundle,org.eclipse.team.svn.core,1.0.1.I20130306-1700,"org.eclipse.team.svn.core",1427990840267
started,bundle,org.eclipse.team.svn.mylyn,1.0.0.I20130122-1700,"org.eclipse.team.svn.mylyn",1427990840267
started,bundle,org.eclipse.team.svn.ui,1.0.1.I20130306-1700,"org.eclipse.team.svn.ui",1427990840303
started,bundle,org.sf.feeling.decompiler,1.0.3.201211040213,"org.sf.feeling.decompiler",1427990840303
os,sysinfo,,,"win32",1427990840305
arch,sysinfo,,,"x86",1427990840305
ws,sysinfo,,,"win32",1427990840305
locale,sysinfo,,,"es_AR",1427990840305
processors,sysinfo,,,"4",1427990840305
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1427990840305
java.runtime.version,sysinfo,,,"1.6.0_23-ea-b03",1427990840305
java.specification.name,sysinfo,,,"Java Platform API Specification",1427990840305
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1427990840305
java.specification.version,sysinfo,,,"1.6",1427990840305
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1427990840305
java.version,sysinfo,,,"1.6.0_23-ea",1427990840305
java.vm.info,sysinfo,,,"mixed mode, sharing",1427990840305
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1427990840305
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1427990840305
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1427990840305
java.vm.specification.version,sysinfo,,,"1.0",1427990840305
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1427990840305
java.vm.version,sysinfo,,,"19.0-b09",1427990840305
started,bundle,org.eclipse.team.svn.revision.graph,1.0.0.I20120601-1700,"org.eclipse.team.svn.revision.graph",1427990840532
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1427990849416
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1427990863360
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427990866621
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427990888721
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427990893315
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427990898036
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1427990898223
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1427990898318
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427990900091
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427990983106
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1427990984345
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427990987092
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427991045373
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1427991045460
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1427991045562
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1427991047928
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427991050775
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427991056786
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1427991056885
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1427991056951
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427991057420
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427991085581
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427991090476
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit",1427991091057
